activity	automated	case_id	event_detail	event_end	event_start	team	user
Approve invoice	False	110553	Approve hierarchy (level 2)	2017-08-24 10:13:45	2017-08-23 04:47:39.667	Line management	Kiona Sanchez
Final check of invoice	True	110565	Checked by System	2017-08-10 16:43:14	2017-08-10 16:43:14	Auto-processor	System
Final check of invoice	False	110689	Checked by Garrett Richardson	2017-09-02 13:11:38	2017-09-02 13:11:38	Other	Garrett Richardson
Final check of invoice	False	110745	Checked by Vivian Nielsen	2017-08-12 14:55:57	2017-08-12 14:55:57	Other	Vivian Nielsen
Approve invoice	False	110939	Approve hierarchy (level 2)	2017-08-19 14:02:58		Other	Kaye Morrow
Pay invoice	False	111155	Bank account 7612310	2017-08-14 17:08:09		Finance	Cullen Combs
Pay invoice	False	111251	Bank account 8492398	2017-08-24 12:01:52		Finance	Cullen Combs
Checked and approved	False	111397	Checked by Autumn Higgins	2017-08-18 13:00:16	2017-08-18 10:40:09.333	Line management	Autumn Higgins
Final check of invoice	False	111418	Checked by Emmanuel Durham	2017-08-19 15:22:02	2017-08-19 15:22:02	Other	Emmanuel Durham
Approve invoice	False	111459	Approve hierarchy (level 2)	2017-08-20 09:37:54		Other	Oscar Medina
Approve invoice	False	111507	Approve hierarchy (level 2)	2017-08-27 11:58:44		Other	Carol Owen
Pay invoice	False	111516	Bank account 5982628	2017-08-21 18:28:46		Finance	Cullen Combs
Approve invoice	False	111613	Approve hierarchy (level 1)	2017-09-10 15:39:41	2017-09-10 15:39:41	Other	Summer Bruce
Pay invoice	False	111631	Bank account 6891382	2017-08-24 13:26:25		Finance	Cullen Combs
Pay invoice	False	111673	Bank account 7271420	2017-08-26 14:55:44	2017-08-26 14:55:44	Finance	Medge Patel
Check received invoice	False	111744	Checked by Medge Patel	2017-08-21 15:30:37	2017-08-21 15:30:37	Finance	Medge Patel
Final check of invoice	False	111788	Checked by Indigo Daugherty	2017-09-04 13:34:48	2017-09-04 13:34:48	Other	Indigo Daugherty
